fluid,all_archives_count,all_archives_percent,master_count,master_percent
R1224YDZ,604,39.01808785529716,5,25.0
R123,529,34.17312661498708,8,40.0
R1233ZDE,672,43.41085271317829,7,35.0
R1234ZEZ,964,62.27390180878553,18,90.0
R1336MZZZ,167,10.78811369509044,0,0.0
R141B,478,30.878552971576227,1,5.0
R142B,950,61.36950904392765,16,80.0
R21,1308,84.49612403100775,18,90.0
R245CA,653,42.18346253229974,10,50.0
R245FA,904,58.39793281653747,14,70.0
R365MFC,169,10.917312661498707,0,0.0
RE245FA2,295,19.05684754521964,2,10.0
RE347MCCHFE7000,47,3.0361757105943155,1,5.0
