run_id,new_unique_solutions,new_master_pareto_solutions,cumulative_unique_solutions,cumulative_master_pareto_size
1,14,14,14,14
2,18,14,32,22
3,22,7,54,20
4,14,13,68,23
5,12,0,80,23
6,18,1,98,20
7,21,0,119,20
8,15,2,134,17
9,14,1,148,18
10,12,0,160,18
11,15,0,175,18
12,6,1,181,15
13,11,0,192,15
14,13,3,205,14
15,26,0,231,14
16,10,0,241,14
17,20,0,261,14
18,16,0,277,14
19,16,0,293,14
20,19,1,312,15
21,14,0,326,15
22,12,2,338,14
23,12,1,350,15
24,15,0,365,15
25,15,0,380,15
26,20,0,400,15
27,10,0,410,15
28,30,0,440,15
29,11,0,451,15
30,16,0,467,15
31,29,0,496,15
32,12,0,508,15
33,12,1,520,16
34,14,0,534,16
35,6,0,540,16
36,15,0,555,16
37,21,0,576,16
38,23,0,599,16
39,11,2,610,18
40,16,0,626,18
41,13,1,639,19
42,16,0,655,19
43,12,0,667,19
44,21,0,688,19
45,25,0,713,19
46,19,0,732,19
47,28,0,760,19
48,12,1,772,19
49,22,0,794,19
50,10,1,804,20
51,13,1,817,19
52,16,0,833,19
53,15,1,848,20
54,17,0,865,20
55,23,0,888,20
56,12,1,900,21
57,12,0,912,21
58,16,0,928,21
59,12,1,940,19
60,19,0,959,19
61,12,1,971,20
62,13,2,984,22
63,22,0,1006,22
64,17,0,1023,22
65,11,0,1034,22
66,10,1,1044,23
67,21,0,1065,23
68,22,0,1087,23
69,15,0,1102,23
70,12,0,1114,23
71,11,0,1125,23
72,20,0,1145,23
73,19,0,1164,23
74,12,0,1176,23
75,21,0,1197,23
76,20,0,1217,23
77,14,0,1231,23
78,18,0,1249,23
79,18,0,1267,23
80,9,0,1276,23
81,11,1,1287,24
82,14,0,1301,24
83,10,0,1311,24
84,19,0,1330,24
85,7,2,1337,25
86,14,1,1351,26
87,12,0,1363,26
88,15,0,1378,26
89,18,0,1396,26
90,14,1,1410,27
91,21,0,1431,27
92,25,0,1456,27
93,17,0,1473,27
94,7,3,1480,23
95,10,0,1490,23
96,8,1,1498,24
97,12,0,1510,24
98,23,0,1533,24
99,8,0,1541,24
100,7,2,1548,20
