run_id,seed,archive_size,unique_solutions,solutions_surviving_in_master,best_COP,best_VHC,best_W_comp,runtime,unique_evaluations
1,3285393467,14,14,0,5.03372255957,6363363.86729,99330.0671786,645.0657727998914,7587
2,1463949419,18,18,0,5.13045770904,6237435.73543,97457.1916105,634.2261594000738,7612
3,3367517259,22,22,0,5.14335677337,6407546.05064,97212.7779641,651.7648051999277,7574
4,1724789829,14,14,0,5.04301976316,6461978.55068,99146.9443869,621.2672112999717,7070
5,1921868321,12,12,0,5.03568063368,6183960.74166,99291.4436741,610.4428182999836,7525
6,2241116508,18,18,0,5.11045290119,6091306.80157,97838.6866424,613.2272223000182,7626
7,833672388,21,21,0,5.08596211022,6203677.77766,98309.8161498,630.254919399973,7499
8,3701117915,15,15,1,5.84631989643,6292353.13139,85523.8866257,606.832053399994,7299
9,1610998502,14,14,0,5.0485337161,6425124.53749,99038.6571858,633.0859279999277,7287
10,1311302439,12,12,0,4.98272308083,6222496.55782,100346.736491,604.103174900054,7491
11,3553816658,15,15,0,5.10667311303,6289785.04588,97911.1035567,597.8966795000015,7598
12,2208986090,6,6,0,5.07798337037,6204597.71723,98464.2846445,583.2673369999975,7530
13,4054623901,11,11,0,5.19426070589,6345020.9973,96260.0894162,623.7985113000032,7605
14,331635868,13,13,3,4.97908653063,6569214.63342,100420.026228,433.0332795000868,7219
15,4142963621,26,26,0,5.03329081927,6451573.01413,99338.587408,439.34508570004255,7417
16,1273073241,10,10,0,5.00637126727,6357788.74677,99872.7368202,423.2200602000812,7320
17,3294303793,20,20,0,5.18309943108,6273148.152,96467.3756791,453.09791849995963,7598
18,371256677,16,16,0,5.03112365557,6233247.19774,99381.3776464,439.50427319994196,7585
19,2537626334,16,16,0,5.09643536363,6449074.81634,98107.7879586,432.5837646999862,7597
20,69875129,19,19,0,5.10139009505,6541347.0674,98012.5006486,437.9772123999428,7512
21,807264348,14,14,0,5.0601816847,6248101.27393,98810.6813461,441.43030389992055,7517
22,2472011904,12,12,1,5.01302205671,6404135.30474,99740.2353997,422.13718610000797,6888
23,2481253753,12,12,0,5.07601740121,6217054.79429,98502.4203977,432.4124440999003,7463
24,3753739661,15,15,0,5.0683141196,6311581.79155,98652.1332738,405.3417366000358,6731
25,4009099983,15,15,0,5.10305526389,6161816.09899,97980.5183648,425.5983612999553,7232
26,2236280978,20,20,0,5.03545780743,6194114.32129,99295.8374634,431.24018610001076,7158
27,665295992,10,10,0,5.10028025232,6182465.08038,98033.8285867,444.601075100014,7608
28,3168796986,30,30,0,5.1216138059,6398366.59981,97625.4787941,449.8969568000175,7545
29,592116692,11,11,0,5.06650582802,6099260.36642,98687.3433037,430.7052762999665,7346
30,3709167921,16,16,0,5.13510663545,6284994.89232,97368.9614444,439.1669964999892,7575
31,3110497485,29,29,0,5.17252586492,6330830.10891,96664.5722143,451.16997330007143,7492
32,2277135609,12,12,0,5.06053242781,6230636.64674,98803.8328244,356.8046830999665,6156
33,2764356435,12,12,0,5.3170004332,6196175.09621,94037.9836869,300.1893401000416,5262
34,3403425363,14,14,0,5.03022794765,6141557.94044,99399.073999,438.16858210007194,7520
35,3063658973,6,6,0,5.01428273435,6284089.9034,99715.1589748,429.2853621999966,7430
36,1783615127,15,15,0,5.07099090298,6036370.57112,98600.0585617,437.37214300001506,7579
37,2392049427,21,21,0,5.13210790501,6380137.02734,97425.8548835,428.57527839997783,7022
38,3039388257,23,23,0,5.06081484726,6336471.60715,98798.3190634,447.08766919991467,7552
39,2659695837,11,11,2,5.02536304033,6635164.13256,99495.2993421,434.626912000007,7580
40,3840731549,16,16,0,5.14381541871,6314375.52676,97204.1100428,416.6168877999298,7126
41,911466434,13,13,0,5.06176210525,6222709.90232,98779.8299492,435.3587858999381,7573
42,246389011,16,16,0,5.03071537689,6226124.36876,99389.4431589,435.71096709999256,7399
43,3740381592,12,12,0,5.0272805311,6305079.12541,99457.3501332,431.2273724999977,7497
44,401640570,21,21,0,5.21607575761,6312195.03417,95857.5034634,432.79830510006286,7439
45,1077917465,25,25,0,5.01886410527,6237718.32472,99624.1359623,442.95659910002723,7284
46,1356244671,19,19,0,5.0749332439,6197339.72647,98523.4634566,439.5033497000113,7584
47,683275571,28,28,0,5.10491034232,6272402.99472,97944.913127,441.09196490002796,7550
48,3504132762,12,12,0,5.07732868244,6239403.75675,98476.9809623,448.208723800024,7494
49,481787776,22,22,0,5.048519009,6535106.61769,99038.9457004,453.2524378000526,7450
50,1546979217,10,10,0,5.03535602982,6335198.58597,99297.8444898,333.99276559997816,5673
51,2268958878,13,13,0,5.10105463077,6356898.42073,98018.9463143,443.6242269000504,7525
52,1799477615,17,17,0,5.0680300425,6279649.95409,98657.6629986,447.7396225000266,7549
53,2857792107,15,15,0,5.03422330111,6298005.92603,99320.1870664,434.4664471000433,7430
54,1358415299,17,17,0,5.08641125544,6176732.12219,98301.1351009,449.84808329993393,7521
55,261176942,23,23,0,5.06685911763,6533098.10509,98680.462273,442.94297039997764,7474
56,389313036,12,12,1,5.01039728173,6632279.92172,99792.485882,430.7874582000077,7303
57,2836615041,12,12,0,5.04797301501,6210614.10476,99049.6578554,330.7694224000443,5740
58,3193347767,16,16,0,4.98914800114,6364036.06698,100217.512065,448.6281811000081,7565
59,1101656332,12,12,1,5.10536412514,6468550.52882,97936.2074368,433.92217339994386,7153
60,3698311319,20,20,0,5.09280298535,6436114.58362,98177.7621161,497.037239999976,7472
61,706767762,12,12,1,5.54040410491,6484272.66793,90246.1247469,547.6346139999805,7392
62,2952854422,13,13,2,7.25668415303,6425518.39007,68901.9929014,600.9670715999091,7111
63,3948041608,22,22,0,5.12934953956,6236937.94417,97478.2467336,531.0079981000163,7502
64,3877771473,18,18,0,5.03348409513,6231317.88837,99334.7730022,469.1505792000098,7467
65,3491018886,11,11,0,5.03649039435,6284087.32793,99275.4797192,453.0907475000713,7181
66,3008149127,10,10,0,5.05008602263,6293979.36493,99008.2144659,454.9601394000929,7393
67,610316082,21,21,0,5.01981265579,6437354.85621,99605.3108522,470.2212658999488,7451
68,4022768207,22,22,0,5.06278533826,6318016.92667,98759.8656852,470.9287468000548,7527
69,3016280584,15,15,0,4.97386126563,6259852.99723,100525.521983,461.8124677001033,7424
70,1934615576,12,12,0,5.00417231258,6099662.92058,99916.6233231,259.42222290008795,4228
71,1442762148,12,12,0,5.06076363428,6069092.50156,98799.3188643,463.57964490004815,7530
72,279105037,20,20,0,5.0171394172,6506903.53583,99658.3826803,469.5483350000577,7604
73,2111711200,19,19,0,5.08819170314,6302125.37123,98266.7378061,467.81395179999527,7576
74,503884183,12,12,0,5.88572006969,6385858.76812,84951.3728277,422.62177490000613,6935
75,831591334,23,23,0,5.02612406023,6434562.02613,99480.2344726,466.7823183001019,7090
76,2518401879,20,20,0,5.06413504839,6190183.28479,98733.5438771,434.98051979998127,7439
77,1158443198,14,14,0,5.01706589772,6303143.11121,99659.8430622,438.4079483000096,7215
78,372586635,18,18,0,5.0607012366,6299454.31245,98800.5370449,448.2561707999557,7510
79,1322903914,19,19,0,5.60690017794,6215614.12402,89175.8340852,436.1471475000726,7058
80,1570279518,9,9,0,4.98108021485,6284928.63328,100379.832975,435.60526710003614,7019
81,1104157398,11,11,0,5.02927552653,6209826.66926,99417.8977395,428.7212478000438,6616
82,2460579903,14,14,0,5.05378594979,6064487.23522,98935.7295634,435.02340060006827,7411
83,2358326582,11,11,0,5.04307038729,6175112.93655,99145.9491147,436.9725504000671,6980
84,2403816446,19,19,0,5.06628510184,6134181.269,98691.6428802,447.3067674000049,7513
85,2788221392,7,7,1,5.0446076859,6409099.844,99115.7352826,443.58936159999575,7172
86,866064822,14,14,0,5.07082707494,6445038.75613,98603.2441277,453.25848199997563,6750
87,3459048924,12,12,0,5.06392612662,6335128.47001,98737.6173148,461.03425109991804,7525
88,3577132828,16,16,0,5.08238740417,6154014.6519,98378.9625304,444.07408459996805,7265
89,57848759,19,19,0,5.02933301339,6317883.9711,99416.7613615,455.589081000071,7582
90,4124633306,15,15,1,5.08832067835,6554425.49202,98264.2470093,447.5442842999473,7499
91,1923033924,21,21,0,5.05600034154,6518448.74519,98892.3983829,446.6299117000308,7459
92,978469103,25,25,0,5.05739439805,6435143.30931,98865.138972,449.62534449994564,7561
93,3877451819,17,17,0,5.08148547076,6139700.60509,98396.4242104,454.23107219999656,7568
94,3627974716,7,7,3,5.10939185056,6175897.00624,97859.0044813,439.08215660008136,6952
95,3883306706,11,11,0,5.07684092484,6285482.17949,98486.4421403,454.491731600021,7264
96,1761676402,8,8,1,5.07407764433,6355654.15307,98540.07665,415.3866230000276,6927
97,2593838316,12,12,0,5.0213629936,6259921.72288,99574.5578714,446.17065890005324,7133
98,3871418657,23,23,0,5.18582405635,6102590.13616,96416.6918443,462.9142611999996,7620
99,2197340159,8,8,0,5.08293207037,6078587.63276,98368.4206433,441.9941311000148,7532
100,268217778,7,7,2,5.05894649342,6373619.14705,98834.8069406,367.8567213000497,6422
