archive_type,canonical_key,found_in_runs,found_in_seeds,duplicate_count,run_id,master_seed,derived_seed,fluids,fractions,COP,VHC,W_comp,pareto_rank,crowding_distance
empirical_master_pareto_front,"[[""R1224YDZ"", 2], [""R1233ZDE"", 9], [""R1234ZEZ"", 13], [""R245FA"", 12], [""RE245FA2"", 14]]",8,3701117915,1,8,123456789,3701117915,R1224YDZ&R1233ZDE&R1234ZEZ&R245FA&RE245FA2,0.040000;0.180000;0.260000;0.240000;0.280000,5.84631989643,4126603.73131,85523.8866257,0,inf
empirical_master_pareto_front,"[[""R1224YDZ"", 2], [""R1234ZEZ"", 2], [""R142B"", 28], [""R21"", 17], [""RE245FA2"", 1]]",14,331635868,1,14,123456789,331635868,R1224YDZ&R1234ZEZ&R142B&R21&RE245FA2,0.040000;0.040000;0.560000;0.340000;0.020000,4.49983413026,6495577.33292,111115.206811,0,0.823974173397
empirical_master_pareto_front,"[[""R1224YDZ"", 2], [""R1234ZEZ"", 3], [""R142B"", 31], [""R21"", 13], [""R245FA"", 1]]",14,331635868,1,14,123456789,331635868,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.040000;0.060000;0.620000;0.260000;0.020000,4.43721383489,6569214.63342,112683.32305,0,inf
empirical_master_pareto_front,"[[""R1224YDZ"", 1], [""R1234ZEZ"", 3], [""R142B"", 21], [""R21"", 21], [""R245FA"", 4]]",14,331635868,1,14,123456789,331635868,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.020000;0.060000;0.420000;0.420000;0.080000,4.60438109593,6414133.65792,108592.227616,0,0.7443324003
empirical_master_pareto_front,"[[""R1234ZEZ"", 4], [""R142B"", 20], [""R21"", 22], [""R245CA"", 1], [""R245FA"", 3]]",22,2472011904,1,22,123456789,2472011904,R1234ZEZ&R142B&R21&R245CA&R245FA,0.080000;0.400000;0.440000;0.020000;0.060000,4.62464669704,6404135.30474,108116.367099,0,inf
empirical_master_pareto_front,"[[""R1234ZEZ"", 2], [""R141B"", 1], [""R142B"", 35], [""R21"", 11], [""R245FA"", 1]]",39,2659695837,1,39,123456789,2659695837,R1234ZEZ&R141B&R142B&R21&R245FA,0.040000;0.020000;0.700000;0.220000;0.020000,4.39521970781,6635164.13256,113759.95587,0,inf
empirical_master_pareto_front,"[[""R1234ZEZ"", 3], [""R142B"", 29], [""R21"", 15], [""R245CA"", 1], [""R245FA"", 2]]",39,2659695837,1,39,123456789,2659695837,R1234ZEZ&R142B&R21&R245CA&R245FA,0.060000;0.580000;0.300000;0.020000;0.040000,4.48290004515,6559468.23495,111534.942775,0,1.01749243676
empirical_master_pareto_front,"[[""R123"", 1], [""R1233ZDE"", 1], [""R142B"", 36], [""R21"", 11], [""R245FA"", 1]]",56,389313036,1,56,123456781,389313036,R123&R1233ZDE&R142B&R21&R245FA,0.020000;0.020000;0.720000;0.220000;0.020000,4.40002763074,6632279.92172,113635.650037,0,inf
empirical_master_pareto_front,"[[""R1234ZEZ"", 5], [""R142B"", 2], [""R21"", 38], [""R245CA"", 1], [""R245FA"", 4]]",59,1101656332,1,59,123456781,1101656332,R1234ZEZ&R142B&R21&R245CA&R245FA,0.100000;0.040000;0.760000;0.020000;0.080000,5.00617293984,6058081.8225,99876.693436,0,0.979148266737
empirical_master_pareto_front,"[[""R1224YDZ"", 6], [""R123"", 13], [""R1233ZDE"", 8], [""R1234ZEZ"", 13], [""R245CA"", 10]]",61,706767762,1,61,123456781,706767762,R1224YDZ&R123&R1233ZDE&R1234ZEZ&R245CA,0.120000;0.260000;0.160000;0.260000;0.200000,5.54040410491,4197757.97288,90246.1247469,0,inf
