run_id,master_seed,derived_seed,fluids,fractions,COP,VHC,W_comp,pareto_rank,crowding_distance
1,123456789,3285393467,R142B&R21&R245FA&R365MFC&RE245FA2,0.040000;0.760000;0.120000;0.060000;0.020000,4.89907379623,5653829.44117,102060.107848,0,0.339235935524
1,123456789,3285393467,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.100000;0.140000;0.380000;0.340000;0.040000,4.54082645757,6151015.67029,110112.113879,0,0.658485238017
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.040000;0.180000;0.600000;0.140000;0.040000,4.30995802234,6363363.86729,116010.410637,0,inf
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R141B&R245FA&R365MFC,0.040000;0.020000;0.800000;0.100000;0.040000,5.03372255957,3399404.00257,99330.0671786,0,inf
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.060000;0.180000;0.540000;0.160000;0.060000,4.3365972999,6252680.39422,115297.770446,0,0.412059474695
1,123456789,3285393467,R123&R1234ZEZ&R142B&R21&R245FA,0.060000;0.100000;0.500000;0.280000;0.060000,4.452547565,6247980.21211,112295.263038,0,0.485894951134
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.060000;0.180000;0.560000;0.140000;0.060000,4.3132950203,6254838.06487,115920.658718,0,0.116873012957
1,123456789,3285393467,R1233ZDE&R141B&R21&R245CA&R245FA,0.100000;0.020000;0.700000;0.160000;0.020000,5.01159324909,5534542.87115,99768.6713882,0,1.1103202665
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.140000;0.140000;0.160000;0.520000;0.040000,4.75390037092,5935079.71765,105176.793998,0,0.157997874012
1,123456789,3285393467,R1233ZDE&R141B&R142B&R21&R245FA,0.100000;0.040000;0.200000;0.620000;0.040000,4.79213691336,5911541.60846,104337.586559,0,0.476166265803
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R141B&R21&R245FA,0.080000;0.240000;0.040000;0.580000;0.060000,4.89685186684,5654737.54782,102106.417265,0,0.371236211005
1,123456789,3285393467,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.100000;0.120000;0.200000;0.520000;0.060000,4.74687371568,6017694.05552,105332.484062,0,0.146107634253
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.080000;0.080000;0.220000;0.500000;0.120000,4.71664361543,6067938.28307,106007.585217,0,0.616211809007
1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.060000;0.160000;0.400000;0.300000;0.080000,4.49677409726,6198234.42422,111190.820171,0,0.285567913415
2,123456789,1463949419,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.100000;0.200000;0.240000;0.440000;0.020000,4.66648824539,6029869.66871,107146.953706,0,0.37366047754
2,123456789,1463949419,R123&R141B&R21&R245CA&RE245FA2,0.020000;0.820000;0.060000;0.060000;0.040000,5.13045770904,3373055.39319,97457.1916105,0,inf
2,123456789,1463949419,R123&R141B&R21&R245CA&RE245FA2,0.040000;0.760000;0.080000;0.080000;0.040000,5.08368705223,3431385.21494,98353.8118816,0,0.0488048152183
2,123456789,1463949419,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.060000;0.100000;0.380000;0.380000;0.080000,4.57864827462,6237435.73543,109202.535336,0,inf
2,123456789,1463949419,R1234ZEZ&R142B&R21&R245FA&RE245FA2,0.100000;0.120000;0.620000;0.100000;0.060000,4.83103874608,5925629.42917,103497.410449,0,0.473825312362
2,123456789,1463949419,R123&R141B&R21&R245CA&RE245FA2,0.040000;0.740000;0.080000;0.080000;0.060000,5.07130212086,3432678.92069,98594.0076304,0,0.113658528853
2,123456789,1463949419,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.100000;0.120000;0.200000;0.480000;0.100000,4.71797542673,5974168.79757,105977.660919,0,0.645316138193
2,123456789,1463949419,R1224YDZ&R142B&R21&R245FA&RE245FA2,0.100000;0.120000;0.620000;0.120000;0.040000,4.83592169426,5859552.20021,103392.906588,0,0.596913109303
2,123456789,1463949419,R123&R1233ZDE&R141B&R21&R245CA,0.060000;0.100000;0.700000;0.080000;0.060000,5.03811964194,3524483.54459,99243.3756113,0,0.160849321967
2,123456789,1463949419,R123&R141B&R21&R245CA&RE245FA2,0.040000;0.760000;0.060000;0.080000;0.060000,5.09764152188,3394515.01771,98084.5745732,0,0.176002276105
2,123456789,1463949419,R123&R141B&R21&R245CA&RE245FA2,0.040000;0.760000;0.080000;0.060000;0.060000,5.08421676879,3420998.32178,98343.5645524,0,0.0610834267689
2,123456789,1463949419,R123&R1233ZDE&R141B&R245CA&RE245FA2,0.180000;0.100000;0.600000;0.060000;0.060000,5.05107438678,3432790.88697,98988.8411284,0,0.0988755922616
2,123456789,1463949419,R1233ZDE&R141B&R21&R245CA&R245FA,0.060000;0.020000;0.720000;0.020000;0.180000,4.98262432656,5770588.31524,100348.725336,0,0.627277160755
2,123456789,1463949419,R123&R1233ZDE&R141B&R21&R245CA,0.040000;0.100000;0.680000;0.100000;0.080000,5.01037970677,3568025.81787,99792.8359252,0,0.17427259284
2,123456789,1463949419,R1233ZDE&R1234ZEZ&R141B&R21&R245CA,0.100000;0.140000;0.040000;0.680000;0.040000,4.98768580012,5617812.31542,100246.892053,0,0.804557051916
2,123456789,1463949419,R123&R141B&R21&R245CA&RE245FA2,0.040000;0.720000;0.100000;0.080000;0.060000,5.04675728717,3471546.75281,99073.5182117,0,0.0771592840831
2,123456789,1463949419,R123&R1233ZDE&R141B&R21&RE245FA2,0.060000;0.100000;0.660000;0.140000;0.040000,4.99683321694,3609376.89882,100063.375801,0,0.795397283737
2,123456789,1463949419,R1233ZDE&R1234ZEZ&R142B&R21&R245CA,0.060000;0.100000;0.340000;0.440000;0.060000,4.63545879481,6156065.64152,107864.188235,0,0.406662370052
3,123456789,3367517259,R1224YDZ&R123&R141B&R245FA&R365MFC,0.040000;0.220000;0.600000;0.060000;0.080000,5.02668586259,3402237.67284,99469.1161667,0,0.0741127860053
3,123456789,3367517259,R1224YDZ&R123&R1233ZDE&R141B&RE245FA2,0.060000;0.220000;0.120000;0.500000;0.100000,4.96569065783,3501215.20845,100690.9279,0,0.196706282873
3,123456789,3367517259,R123&R1233ZDE&R141B&R245CA&RE245FA2,0.220000;0.080000;0.540000;0.060000;0.100000,5.02579913964,3439858.95469,99486.6659226,0,0.0759486586585
3,123456789,3367517259,R123&R1234ZEZ&R21&R245FA&RE347MCCHFE7000,0.040000;0.100000;0.760000;0.060000;0.040000,4.94221806054,5605730.36923,101169.149939,0,0.117888936187
3,123456789,3367517259,R1224YDZ&R1233ZDE&R142B&R21&R245FA,0.060000;0.040000;0.460000;0.420000;0.020000,4.59036627961,6366316.51929,108923.769813,0,0.30177208986
3,123456789,3367517259,R123&R1233ZDE&R141B&R21&R245CA,0.120000;0.120000;0.540000;0.060000;0.160000,4.96028751794,3605900.74529,100800.608471,0,0.638078475625
3,123456789,3367517259,R1234ZEZ&R141B&R142B&R21&R245FA,0.120000;0.020000;0.300000;0.480000;0.080000,4.66428546908,6220333.45774,107197.555406,0,0.548164708991
3,123456789,3367517259,R1224YDZ&R1233ZDE&R1234ZEZ&R141B&R21,0.080000;0.100000;0.080000;0.080000;0.660000,4.95929337455,5415590.69444,100820.815031,0,0.630528422131
3,123456789,3367517259,R1224YDZ&R123&R142B&R21&R245FA,0.100000;0.060000;0.140000;0.600000;0.100000,4.81482347496,5827021.71652,103845.967064,0,0.300002911611
3,123456789,3367517259,R1224YDZ&R1233ZDE&R1234ZEZ&R142B&R21,0.100000;0.140000;0.100000;0.100000;0.560000,4.83651358504,5716503.56104,103380.253401,0,0.385325206138
3,123456789,3367517259,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.080000;0.080000;0.180000;0.560000;0.100000,4.77817017563,6061173.24238,104642.568519,0,0.310342424366
3,123456789,3367517259,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.100000;0.060000;0.220000;0.540000;0.080000,4.74501415719,6084784.31639,105373.763583,0,0.42660621619
3,123456789,3367517259,R123&R1234ZEZ&R141B&R245CA&RE347MCCHFE7000,0.140000;0.020000;0.800000;0.020000;0.020000,5.14335677337,3309969.25781,97212.7779641,0,inf
3,123456789,3367517259,R1224YDZ&R1233ZDE&R1234ZEZ&R21&R245CA,0.100000;0.160000;0.100000;0.600000;0.040000,4.95659960288,5523170.59385,100875.608292,0,0.0894029789904
3,123456789,3367517259,R123&R1233ZDE&R1234ZEZ&R141B&R245CA,0.140000;0.080000;0.040000;0.660000;0.080000,5.00939611633,3471395.78441,99812.430159,0,0.207031144993
3,123456789,3367517259,R1224YDZ&R1234ZEZ&R21&R245CA&R245FA,0.120000;0.140000;0.600000;0.060000;0.080000,4.92144959343,5688601.96546,101596.082721,0,0.372005505167
3,123456789,3367517259,R123&R1234ZEZ&R141B&R245CA&RE347MCCHFE7000,0.140000;0.040000;0.720000;0.060000;0.040000,5.04725054725,3348500.02089,99063.8359081,0,0.0596105639008
3,123456789,3367517259,R1233ZDE&R1234ZEZ&R21&R245CA&R245FA,0.140000;0.100000;0.600000;0.100000;0.060000,4.94742640144,5577080.95837,101062.64539,0,0.0718538191546
3,123456789,3367517259,R123&R141B&R245CA&R245FA&RE347MCCHFE7000,0.120000;0.680000;0.080000;0.080000;0.040000,5.04279640255,3373072.15992,99151.3359031,0,0.0808975594989
3,123456789,3367517259,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.060000;0.060000;0.500000;0.340000;0.040000,4.52303161804,6407546.05064,110545.324955,0,inf
3,123456789,3367517259,R123&R1234ZEZ&R141B&R245CA&RE347MCCHFE7000,0.140000;0.040000;0.740000;0.040000;0.040000,5.05843582239,3337740.5105,98844.784743,0,0.306205326213
3,123456789,3367517259,R1224YDZ&R1233ZDE&R142B&R21&R245FA,0.080000;0.060000;0.420000;0.420000;0.020000,4.59515312348,6236021.84525,108810.302195,0,0.295763871004
4,123456789,1724789829,R1234ZEZ&R141B&R142B&R21&R245FA,0.060000;0.040000;0.700000;0.160000;0.040000,4.32654400517,6461978.55068,115565.679998,0,inf
4,123456789,1724789829,R1233ZDE&R1234ZEZ&R21&R245FA&RE245FA2,0.020000;0.020000;0.800000;0.120000;0.040000,5.04301976316,5888980.79352,99146.9443869,0,inf
4,123456789,1724789829,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.040000;0.040000;0.260000;0.560000;0.100000,4.7545138363,6228053.49329,105163.223247,0,0.173212373651
4,123456789,1724789829,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.040000;0.040000;0.220000;0.600000;0.100000,4.79780779773,6194899.64884,104214.262238,0,0.163126574235
4,123456789,1724789829,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.040000;0.060000;0.200000;0.600000;0.100000,4.80552148314,6164302.18457,104046.98049,0,0.18215561618
4,123456789,1724789829,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.040000;0.040000;0.180000;0.640000;0.100000,4.84270036902,6160142.8069,103248.180127,0,0.196656949362
