fluid,all_archives_count,all_archives_percent,master_count,master_percent
R1224YDZ,1037,27.64596107704612,8,16.666666666666668
R123,2246,59.87736603572381,25,52.083333333333336
R1233ZDE,1951,52.012796587576645,21,43.75
R1234ZEZ,1282,34.17755265262597,20,41.666666666666664
R1336MZZZ,1165,31.05838443081845,14,29.166666666666668
R141B,2170,57.85123966942149,27,56.25
R142B,1324,35.297254065582514,21,43.75
R21,2072,55.23860303918955,30,62.5
R245CA,2144,57.15809117568649,32,66.66666666666667
R245FA,1409,37.56331644894695,21,43.75
R365MFC,702,18.715009330845106,8,16.666666666666668
RE245FA2,1064,28.365769128232472,12,25.0
RE347MCCHFE7000,189,5.038656358304452,1,2.0833333333333335
