run_id,new_unique_solutions,new_master_pareto_solutions,cumulative_unique_solutions,cumulative_master_pareto_size
1,47,47,47,47
2,30,27,77,41
3,41,12,118,40
4,36,7,154,43
5,35,19,189,47
6,36,3,225,44
7,33,16,258,47
8,51,10,309,51
9,25,6,334,45
10,43,15,377,45
11,29,1,406,43
12,16,3,422,44
13,50,2,472,42
14,28,0,500,42
15,34,5,534,46
16,41,2,575,46
17,36,4,611,49
18,32,0,643,49
19,30,1,673,49
20,50,0,723,49
21,40,0,763,49
22,44,0,807,49
23,33,0,840,49
24,30,1,870,48
25,43,6,913,51
26,29,0,942,51
27,44,3,986,54
28,41,2,1027,53
29,45,1,1072,52
30,53,5,1125,50
31,39,1,1164,50
32,42,0,1206,50
33,31,1,1237,50
34,38,1,1275,48
35,39,0,1314,48
36,44,0,1358,48
37,53,0,1411,48
38,29,2,1440,50
39,31,3,1471,51
40,33,8,1504,48
41,31,1,1535,46
42,36,0,1571,46
43,53,0,1624,46
44,40,1,1664,47
45,29,0,1693,47
46,25,1,1718,43
47,29,0,1747,43
48,40,6,1787,47
49,46,0,1833,47
50,39,0,1872,47
51,35,0,1907,47
52,50,0,1957,47
53,49,2,2006,42
54,36,0,2042,42
55,34,0,2076,42
56,31,0,2107,42
57,41,0,2148,42
58,28,1,2176,41
59,31,0,2207,41
60,33,0,2240,41
61,27,1,2267,41
62,33,0,2300,41
63,38,0,2338,41
64,38,0,2376,41
65,29,1,2405,42
66,38,0,2443,42
67,26,0,2469,42
68,39,0,2508,42
69,44,0,2552,42
70,36,0,2588,42
71,47,2,2635,44
72,32,0,2667,44
73,27,0,2694,44
74,27,0,2721,44
75,26,0,2747,44
76,47,0,2794,44
77,36,0,2830,44
78,32,0,2862,44
79,42,0,2904,44
80,32,0,2936,44
81,36,0,2972,44
82,30,1,3002,45
83,44,0,3046,45
84,49,1,3095,46
85,26,0,3121,46
86,44,0,3165,46
87,52,0,3217,46
88,50,1,3267,47
89,24,0,3291,47
90,32,0,3323,47
91,38,0,3361,47
92,42,0,3403,47
93,63,0,3466,47
94,42,0,3508,47
95,72,1,3580,48
96,34,0,3614,48
97,39,0,3653,48
98,32,1,3685,48
99,38,0,3723,48
100,28,0,3751,48
