run_id,seed,archive_size,unique_solutions,solutions_surviving_in_master,best_COP,best_VHC,best_W_comp,runtime,unique_evaluations
1,3285393467,47,47,0,5.28985663982,6568662.55289,94520.5199392,679.7090814000694,7560
2,1463949419,30,30,1,5.2744799815,6991527.6082,94796.0750167,452.8447047000518,7584
3,3367517259,41,41,0,5.30424605857,6738587.52576,94264.1036028,477.271394600044,7564
4,1724789829,36,36,0,5.24132433447,6986038.07689,95395.7374307,477.0432594999438,7564
5,1921868321,35,35,3,5.25312246023,7225989.99033,95181.4856374,466.8501512000803,7583
6,2241116508,36,36,0,5.26609899705,6857012.62169,94946.9427522,469.40036259999033,7579
7,833672388,34,34,0,5.33022185301,6770445.47858,93804.7259172,461.784324200009,7618
8,3701117915,51,51,1,5.36861488262,6739561.07398,93133.8922482,505.53454989998136,7579
9,1610998502,25,25,2,5.25448646549,6735931.96354,95156.7776003,470.55594709992874,7413
10,1311302439,43,43,2,5.2639416636,6807953.8885,94985.8550784,488.48322840000037,7562
11,3553816658,29,29,1,5.28968244561,6554581.23819,94523.6325888,457.4139540999895,7517
12,2208986090,16,16,1,5.22243569307,6823200.12609,95740.7672177,468.40976130007766,7498
13,4054623901,50,50,1,5.33782242362,7071464.60754,93671.1565726,506.2103092999896,7584
14,331635868,28,28,0,5.25894423039,6791065.00311,95076.1175808,491.4969343000557,7542
15,4142963621,34,34,2,5.26741420576,6991825.47998,94923.2356653,486.02249040000606,7542
16,1273073241,41,41,0,5.30050466993,6729755.23594,94330.640408,480.8104485999793,7517
17,3294303793,36,36,1,5.3739601185,6692748.57859,93041.2561639,524.7888471999904,7615
18,371256677,32,32,0,5.28094430979,6690723.37725,94680.036499,476.41701209999155,7542
19,2537626334,30,30,0,5.2475374537,6983150.13667,95282.7882433,469.38657959993,7403
20,69875129,50,50,0,5.27090052273,6653413.25385,94860.4508553,526.0064188999822,7559
21,807264348,40,40,0,5.32423403747,6511626.72602,93910.2219176,530.9696438999381,7583
22,2472011904,44,44,0,5.31174191607,6672695.26199,94131.0793899,535.9453550000908,7552
23,2481253753,33,33,0,5.28936579503,6850503.43718,94529.2912942,521.8484520999482,7504
24,3753739661,31,31,1,5.30048687094,6956762.66846,94330.9571695,541.3333334999625,7609
25,4009099983,43,43,1,5.32867805514,6785439.63986,93831.9025518,542.4536801000359,7582
26,2236280978,30,30,0,5.26322667109,6940167.42651,94998.7586031,499.6797736999579,7550
27,665295992,44,44,0,5.34691446803,6594158.73078,93511.8754919,553.216788400081,7606
28,3168796986,41,41,1,5.34188358356,7006661.9222,93599.9431996,510.7673999000108,7596
29,592116692,46,46,0,5.28803170459,6910005.0817,94553.139605,540.4567216000287,7550
30,3709167921,54,54,2,5.34869835607,7062577.88692,93480.6875832,511.35193990007974,7540
31,3110497485,40,40,0,5.27786940576,6958019.05914,94735.1973988,504.51258920005057,7556
32,2277135609,42,42,0,5.33414558908,6635386.61237,93735.7242411,507.63920340000186,7591
33,2764356435,32,32,0,5.29072633171,6585670.79608,94504.9826152,451.5100336999167,7589
34,3403425363,38,38,1,5.36507898373,6624251.16596,93195.2728964,483.04869009996764,7559
35,3063658973,40,40,0,5.25814779823,6768530.4153,95090.518408,469.36014490004163,7529
36,1783615127,44,44,0,5.29450205067,6733693.28664,94437.5873717,479.2918535999488,7567
37,2392049427,54,54,0,5.26283664592,6896396.2748,95005.798895,511.9468968999572,7550
38,3039388257,29,29,1,5.2706723299,6520973.77713,94864.5578218,452.85482100001536,7537
39,2659695837,32,32,2,5.2893065292,6638361.06751,94530.3504797,472.1031612000661,7597
40,3840731549,34,34,7,5.26388625388,7072410.01236,94986.8549366,447.7954473000718,7363
