archive_type,canonical_key,found_in_runs,found_in_seeds,duplicate_count,run_id,master_seed,derived_seed,fluids,fractions,COP,VHC,W_comp,pareto_rank,crowding_distance
empirical_master_pareto_front,"[[""R1233ZDE"", 1], [""R1234ZEZ"", 3], [""R142B"", 13], [""R21"", 31], [""R245FA"", 2]]",2,1463949419,1,2,123456789,1463949419,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.020000;0.060000;0.260000;0.620000;0.040000,4.91634834964,6583305.33479,101701.499658,0,0.905995404716
empirical_master_pareto_front,"[[""R1224YDZ"", 1], [""R1234ZEZ"", 1], [""R141B"", 1], [""R142B"", 45], [""R245FA"", 2]]",5,1921868321,1,5,123456789,1921868321,R1224YDZ&R1234ZEZ&R141B&R142B&R245FA,0.020000;0.020000;0.020000;0.900000;0.040000,4.46195937136,7225989.99033,112058.39372,0,inf
empirical_master_pareto_front,"[[""R1224YDZ"", 2], [""R1234ZEZ"", 2], [""R142B"", 27], [""R21"", 17], [""R245FA"", 2]]",5,1921868321,1,5,123456789,1921868321,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.040000;0.040000;0.540000;0.340000;0.040000,4.71524073941,6942628.31029,106039.12454,0,0.103936477499
empirical_master_pareto_front,"[[""R1224YDZ"", 3], [""R1234ZEZ"", 2], [""R142B"", 26], [""R21"", 17], [""R245FA"", 2]]",5,1921868321,1,5,123456789,1921868321,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.060000;0.040000;0.520000;0.340000;0.040000,4.7161222737,6876622.73422,106019.30378,0,0.162191668457
empirical_master_pareto_front,"[[""R1224YDZ"", 1], [""R123"", 8], [""R1336MZZZ"", 1], [""R141B"", 39], [""RE245FA2"", 1]]",8,3701117915,1,8,123456789,3701117915,R1224YDZ&R123&R1336MZZZ&R141B&RE245FA2,0.020000;0.160000;0.020000;0.780000;0.020000,5.36861488262,3469440.51264,93133.8922482,0,inf
empirical_master_pareto_front,"[[""R1224YDZ"", 1], [""R1233ZDE"", 1], [""R142B"", 20], [""R21"", 27], [""R245CA"", 1]]",9,1610998502,1,9,123456789,1610998502,R1224YDZ&R1233ZDE&R142B&R21&R245CA,0.020000;0.020000;0.400000;0.540000;0.020000,4.83575207636,6735931.96354,103396.533177,0,inf
empirical_master_pareto_front,"[[""R1233ZDE"", 2], [""R142B"", 18], [""R21"", 26], [""R245CA"", 2], [""R245FA"", 2]]",9,1610998502,1,9,123456789,1610998502,R1233ZDE&R142B&R21&R245CA&R245FA,0.040000;0.360000;0.520000;0.040000;0.040000,4.84622318706,6608444.78172,103173.126928,0,0.158598654834
empirical_master_pareto_front,"[[""R123"", 23], [""R141B"", 21], [""R21"", 1], [""R245CA"", 2], [""RE245FA2"", 3]]",10,1311302439,1,10,123456789,1311302439,R123&R141B&R21&R245CA&RE245FA2,0.460000;0.420000;0.020000;0.040000;0.060000,5.2639416636,3673031.66958,94985.8550784,0,inf
empirical_master_pareto_front,"[[""R123"", 19], [""R1233ZDE"", 8], [""R141B"", 19], [""R21"", 2], [""R245CA"", 2]]",10,1311302439,1,10,123456789,1311302439,R123&R1233ZDE&R141B&R21&R245CA,0.380000;0.160000;0.380000;0.040000;0.040000,5.18571776469,3831684.73388,96418.6680974,0,0.0635796255657
empirical_master_pareto_front,"[[""R123"", 25], [""R1233ZDE"", 1], [""R1336MZZZ"", 4], [""R141B"", 19], [""R245CA"", 1]]",11,3553816658,1,11,123456789,3553816658,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.500000;0.020000;0.080000;0.380000;0.020000,5.28629677898,3634550.29055,94584.1712838,0,0.330949981664
