canonical_key,found_in_runs,found_in_seeds,duplicate_count,run_id,master_seed,derived_seed,fluids,fractions,COP,VHC,W_comp,pareto_rank,crowding_distance
"[[""R123"", 11], [""R141B"", 27], [""R21"", 3], [""R245CA"", 7], [""RE347MCCHFE7000"", 2]]",1,3285393467,1,1,123456789,3285393467,R123&R141B&R21&R245CA&RE347MCCHFE7000,0.220000;0.540000;0.060000;0.140000;0.040000,5.21355204153,3674336.66633,95903.9050569,0,0.0518107785591
"[[""R142B"", 2], [""R21"", 38], [""R245FA"", 6], [""R365MFC"", 3], [""RE245FA2"", 1]]",1,3285393467,1,1,123456789,3285393467,R142B&R21&R245FA&R365MFC&RE245FA2,0.040000;0.760000;0.120000;0.060000;0.020000,5.01638733689,5861953.67139,99673.3239323,0,0.175998328296
"[[""R1224YDZ"", 3], [""R1233ZDE"", 2], [""R142B"", 8], [""R21"", 31], [""R245CA"", 6]]",1,3285393467,1,1,123456789,3285393467,R1224YDZ&R1233ZDE&R142B&R21&R245CA,0.060000;0.040000;0.160000;0.620000;0.120000,4.98853116088,6125829.77124,100229.904129,0,0.435157072084
"[[""R1233ZDE"", 7], [""R142B"", 11], [""R21"", 25], [""R245FA"", 6], [""RE245FA2"", 1]]",1,3285393467,1,1,123456789,3285393467,R1233ZDE&R142B&R21&R245FA&RE245FA2,0.140000;0.220000;0.500000;0.120000;0.020000,4.88764725293,6194046.95441,102298.708177,0,0.487804946742
"[[""R123"", 16], [""R1233ZDE"", 5], [""R141B"", 15], [""R245CA"", 6], [""RE245FA2"", 8]]",1,3285393467,1,1,123456789,3285393467,R123&R1233ZDE&R141B&R245CA&RE245FA2,0.320000;0.100000;0.300000;0.120000;0.160000,5.14746185387,3843806.55409,97135.2511577,0,0.0257710487333
"[[""R1224YDZ"", 4], [""R1233ZDE"", 3], [""R1234ZEZ"", 15], [""R21"", 22], [""R245FA"", 6]]",1,3285393467,1,1,123456789,3285393467,R1224YDZ&R1233ZDE&R1234ZEZ&R21&R245FA,0.080000;0.060000;0.300000;0.440000;0.120000,5.00269062247,5929286.30464,99946.2164929,0,0.169131380498
"[[""R123"", 15], [""R1233ZDE"", 3], [""R1336MZZZ"", 7], [""R141B"", 15], [""R245CA"", 10]]",1,3285393467,1,1,123456789,3285393467,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.300000;0.060000;0.140000;0.300000;0.200000,5.17218827243,3790089.61854,96670.8815813,0,0.0519141771659
"[[""R123"", 13], [""R1233ZDE"", 10], [""R1336MZZZ"", 4], [""R141B"", 16], [""R245CA"", 7]]",1,3285393467,1,1,123456789,3285393467,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.260000;0.200000;0.080000;0.320000;0.140000,5.14413773293,3871603.02058,97198.0195629,0,0.0532117010347
"[[""R1224YDZ"", 2], [""R142B"", 28], [""R21"", 14], [""R245CA"", 5], [""RE347MCCHFE7000"", 1]]",1,3285393467,1,1,123456789,3285393467,R1224YDZ&R142B&R21&R245CA&RE347MCCHFE7000,0.040000;0.560000;0.280000;0.100000;0.020000,4.63067230137,6568662.55289,107975.68203,0,inf
"[[""R1224YDZ"", 6], [""R1234ZEZ"", 8], [""R142B"", 18], [""R21"", 12], [""R245FA"", 6]]",1,3285393467,1,1,123456789,3285393467,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.120000;0.160000;0.360000;0.240000;0.120000,4.6947231466,6445783.28794,106502.552842,0,0.0273515530595
"[[""R1224YDZ"", 3], [""R142B"", 23], [""R21"", 12], [""R245CA"", 5], [""R245FA"", 7]]",1,3285393467,1,1,123456789,3285393467,R1224YDZ&R142B&R21&R245CA&R245FA,0.060000;0.460000;0.240000;0.100000;0.140000,4.68907404783,6456805.96506,106630.860357,0,0.080128837458
